CUSTOMER NAME,CUSTOMER CODE,Territory,Region
Farmers Hub 31,20000031,Amravati,Ahmedabad
Agro Chemicals 51,20000051,Amravati,Ahmedabad
Agro Chemicals 3,20000003,Abohar,Ahmedabad
Agro Chemicals 56,20000056,West,Delhi
Seeds & Pesticides 43,20000043,South,Akola
Kisan Store 84,20000084,West,Ahmedabad
Agro Chemicals 19,20000019,Abohar,Bathinda
Agro Sales 61,20000061,North,Ahmedabad
Agro Sales 28,20000028,West,Ahmedabad
Farmers Hub 59,20000059,Baroda,Pune
Agro Chemicals 72,20000072,Amravati,Pune
Kisan Store 92,20000092,North,Pune
Kisan Store 87,20000087,Amravati,Ahmedabad
Green World 46,20000046,Amravati,Delhi
Seeds & Pesticides 83,20000083,North,Akola
Kisan Store 76,20000076,West,Bathinda
Farmers Hub 60,20000060,Abohar,Chennai
Seeds & Pesticides 97,20000097,West,Akola
Green World 95,20000095,Abohar,Akola
Seeds & Pesticides 63,20000063,Baroda,Chennai
Agro Sales 82,20000082,Amravati,Bathinda
Green World 16,20000016,West,Bathinda
Kisan Store 66,20000066,West,Bathinda
Green World 1,20000001,South,Ahmedabad
Kisan Store 6,20000006,West,Akola
Agro Chemicals 13,20000013,Amravati,Bathinda
Agro Sales 35,20000035,West,Bathinda
Seeds & Pesticides 99,20000099,South,Chennai
Agro Chemicals 5,20000005,Abohar,Akola
Agro Sales 91,20000091,North,Delhi
Green World 85,20000085,Baroda,Delhi
Seeds & Pesticides 36,20000036,Amravati,Pune
Agro Chemicals 54,20000054,Amravati,Delhi
Farmers Hub 75,20000075,North,Bathinda
Agro Chemicals 20,20000020,Abohar,Bathinda
Agro Chemicals 68,20000068,West,Chennai
Agro Sales 11,20000011,Amravati,Ahmedabad
Agro Chemicals 64,20000064,South,Delhi
Agro Chemicals 30,20000030,Amravati,Bathinda
Agro Chemicals 18,20000018,Amravati,Akola
Seeds & Pesticides 44,20000044,Abohar,Delhi
Agro Chemicals 69,20000069,North,Chennai
Kisan Store 7,20000007,Baroda,Akola
Seeds & Pesticides 24,20000024,Baroda,Delhi
Agro Chemicals 52,20000052,South,Ahmedabad
Agro Sales 9,20000009,South,Ahmedabad
Bajaj Seeds  & Pesticides,10005955,Amravati,Akola
Kisan Store 58,20000058,South,Bathinda
Green World 21,20000021,Amravati,Chennai
Farmers Hub 14,20000014,Amravati,Pune
