CUSTOMER NAME,CUSTOMER CODE,Territory,Region
Agro Chemicals 52,20000052,South,Ahmedabad
Agro Sales 27,20000027,Abohar,Delhi
Agro Sales 94,20000094,Abohar,Bathinda
Green World 1,20000001,South,Ahmedabad
Agro Chemicals 13,20000013,Amravati,Bathinda
Agro Chemicals 72,20000072,Amravati,Pune
Green World 48,20000048,South,Akola
Kisan Store 90,20000090,South,Delhi
Kisan Store 66,20000066,West,Bathinda
Agro Chemicals 64,20000064,South,Delhi
Agro Chemicals 51,20000051,Amravati,Ahmedabad
Farmers Hub 59,20000059,Baroda,Pune
Kisan Store 79,20000079,Baroda,Bathinda
Agro Sales 82,20000082,Amravati,Bathinda
Green World 95,20000095,Abohar,Akola
Seeds & Pesticides 80,20000080,West,Ahmedabad
Kisan Store 53,20000053,South,Chennai
Agro Chemicals 18,20000018,Amravati,Akola
Agro Sales 8,20000008,Amravati,Chennai
Green World 16,20000016,West,Bathinda
Agro Sales 17,20000017,Baroda,Chennai
Kisan Store 84,20000084,West,Ahmedabad
Seeds & Pesticides 63,20000063,Baroda,Chennai
Green World 70,20000070,North,Ahmedabad
Kisan Store 89,20000089,South,Akola
Kisan Store 57,20000057,North,Akola
Kisan Store 58,20000058,South,Bathinda
Agro Chemicals 41,20000041,Amravati,Akola
Green World 71,20000071,West,Ahmedabad
Seeds & Pesticides 97,20000097,West,Akola
Agro Sales 61,20000061,North,Ahmedabad
Farmers Hub 31,20000031,Amravati,Ahmedabad
Farmers Hub 60,20000060,Abohar,Chennai
Agro Sales 28,20000028,West,Ahmedabad
Green World 46,20000046,Amravati,Delhi
Agro Chemicals 12,20000012,Abohar,Ahmedabad
Farmers Hub 15,20000015,West,Chennai
Kisan Store 92,20000092,North,Pune
Agro Sales 35,20000035,West,Bathinda
Green World 85,20000085,Baroda,Delhi
Farmers Hub 0,20000000,Amravati,Akola
Farmers Hub 4,20000004,South,Pune
Agro Chemicals 68,20000068,West,Chennai
Agro Sales 9,20000009,South,Ahmedabad
Agro Chemicals 38,20000038,Abohar,Bathinda
Farmers Hub 75,20000075,North,Bathinda
Seeds & Pesticides 44,20000044,Abohar,Delhi
Agro Chemicals 26,20000026,Abohar,Pune
Green World 33,20000033,Baroda,Delhi
Seeds & Pesticides 83,20000083,North,Akola
Green World 21,20000021,Amravati,Chennai
Seeds & Pesticides 99,20000099,South,Chennai
Agro Chemicals 3,20000003,Abohar,Ahmedabad
Agro Chemicals 54,20000054,Amravati,Delhi
Agro Sales 37,20000037,Amravati,Bathinda
Green World 62,20000062,South,Delhi
Seeds & Pesticides 47,20000047,Abohar,Delhi
Agro Chemicals 69,20000069,North,Chennai
Kisan Store 87,20000087,Amravati,Ahmedabad
Agro Sales 91,20000091,North,Delhi
Green World 67,20000067,Abohar,Akola
Agro Chemicals 5,20000005,Abohar,Akola
Agro Chemicals 25,20000025,West,Delhi
Agro Chemicals 98,20000098,West,Bathinda
Farmers Hub 14,20000014,Amravati,Pune
Kisan Store 7,20000007,Baroda,Akola
Agro Chemicals 96,20000096,South,Akola
Agro Sales 93,20000093,West,Chennai
Agro Chemicals 19,20000019,Abohar,Bathinda
Agro Chemicals 29,20000029,Amravati,Akola
Agro Chemicals 56,20000056,West,Delhi
Seeds & Pesticides 45,20000045,North,Chennai
Kisan Store 76,20000076,West,Bathinda
Seeds & Pesticides 43,20000043,South,Akola
Agro Sales 11,20000011,Amravati,Ahmedabad
Seeds & Pesticides 24,20000024,Baroda,Delhi
Seeds & Pesticides 74,20000074,Abohar,Pune
Garg Agro Chemicals,10001552,Abohar,Bathinda
Bajaj Seeds  & Pesticides,10005955,Amravati,Akola
Seeds & Pesticides 36,20000036,Amravati,Pune
Farmers Hub 2,20000002,West,Akola
Kisan Store 6,20000006,West,Akola
Agro Chemicals 77,20000077,Abohar,Ahmedabad
Seeds & Pesticides 32,20000032,South,Chennai
Agro Chemicals 30,20000030,Amravati,Bathinda
Farmers Hub 34,20000034,Abohar,Akola
Green World 49,20000049,West,Pune
Agro Sales 50,20000050,Amravati,Pune
Agro Chemicals 73,20000073,North,Pune
Kisan Store 78,20000078,West,Akola
Seeds & Pesticides 40,20000040,Baroda,Akola
Agro Chemicals 20,20000020,Abohar,Bathinda
Seeds & Pesticides 22,20000022,Baroda,Chennai
