Region,Territory,CUSTOMER NAME,CUSTOMER CODE
Ahmedabad,Amravati,Kisan Store 87,20000087
Bathinda,Abohar,Agro Sales 94,20000094
Bathinda,Abohar,Agro Chemicals 38,20000038
Ahmedabad,Amravati,Farmers Hub 31,20000031
Pune,Amravati,Agro Sales 50,20000050
Ahmedabad,Abohar,Agro Chemicals 3,20000003
Bathinda,North,Farmers Hub 75,20000075
Akola,West,Seeds & Pesticides 97,20000097
Akola,Amravati,Agro Chemicals 29,20000029
Ahmedabad,Amravati,Agro Chemicals 51,20000051
Bathinda,West,Kisan Store 76,20000076
Chennai,Baroda,Agro Sales 17,20000017
Chennai,Amravati,Green World 21,20000021
Delhi,West,Agro Chemicals 56,20000056
Pune,Baroda,Farmers Hub 59,20000059
Pune,North,Kisan Store 92,20000092
Akola,South,Agro Chemicals 96,20000096
Ahmedabad,Abohar,Agro Chemicals 12,20000012
Akola,North,Seeds & Pesticides 83,20000083
Chennai,Baroda,Seeds & Pesticides 63,20000063
Ahmedabad,West,Kisan Store 84,20000084
Delhi,Abohar,Seeds & Pesticides 44,20000044
Ahmedabad,North,Agro Sales 61,20000061
Bathinda,Amravati,Agro Sales 37,20000037
Pune,Amravati,Farmers Hub 14,20000014
